Rank,Artist,Peak,Prev,Streak,URL
110, Fin de Semana,85,113,15,https://open.spotify.com/track/6TBzRwnX2oYd8aOrOuyK1p
111, PAINTING PICTURES,9,89,10,https://open.spotify.com/track/6KXKcH4QO1MiGrMQOGoADP
112, Space Song,47,118,22,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
113, Nonsense,15,109,16,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g
114, Las Morras,114,—,1,https://open.spotify.com/track/7Lkxvfl2rkNYWS4kBDCQtN
115, Midnight Rain,3,114,6,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4
116, Enchanted,29,120,6,https://open.spotify.com/track/3sqrvkNC6IPTIXvvbx9Arw
117, I Wrote The Book,12,104,13,https://open.spotify.com/track/7phmBo7bB9I9YifAXqnlqV
118, Everlong,60,116,18,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk
119, Alone (with Nicki Minaj),119,—,1,https://open.spotify.com/track/7kOletJ0Q5H4MWe7cfeZXP
120, Yandel 150,87,117,13,https://open.spotify.com/track/4FAKtPVycI4DxoOHC01YqD
121, Flashing Lights,53,127,17,https://open.spotify.com/track/5TRPicyLGbAF2LGBFbHGvO
122, Man Made A Bar (feat. Eric Church),13,108,8,https://open.spotify.com/track/73zawW1ttszLRgT9By826D
123, Love You Anyway,10,147,11,https://open.spotify.com/track/2kYevr8cbIAH2ha8210Bnz
124, Sunflower - Spider-Man: Into the Spider-Verse,1,119,17,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
125, Heat Waves,1,54,125,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp
126, Dreams - 2004 Remaster,6,110,8,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
127, Apocalypse,49,135,42,https://open.spotify.com/track/3AVrVz5rK8Hrqo9YGiVGN5
128, Hell N Back,120,121,6,https://open.spotify.com/track/0rVJ6v23RQozOIvr1YotJP
129, I Like You (A Happier Song) (with Doja Cat),3,115,47,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj
130, Private Landing (feat. Justin Bieber & Future),39,138,9,https://open.spotify.com/track/52NGJPcLUzQq5w7uv4e5gf
131, Shirt,8,123,26,https://open.spotify.com/track/2wSTnntOPRi7aQneobFtU4
132, Good Days,1,124,20,https://open.spotify.com/track/4PMqSO5qyjpvzhlLI5GnID
133, Bejeweled,8,128,6,https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE
134, I Wanna Be Yours,62,130,33,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n
135, VOID,12,103,4,https://open.spotify.com/track/6wmKvtSmyTqHNo44OBXVN1
136, El Tsurito,136,164,2,https://open.spotify.com/track/1piak4R3yW4otWWyaSqyCH
137, Drip Too Hard (Lil Baby & Gunna),1,136,17,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
138, Pure Cocaine,52,137,17,https://open.spotify.com/track/577YBGuskWkVDCxZrLRB4v
139, More Than My Hometown,21,129,10,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
140, Revenge,25,165,61,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
141, Mr. Brightside,60,146,17,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
142, Don't,82,149,17,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
143, OMG,28,139,16,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE
144, LOVE. FEAT. ZACARI.,5,160,17,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
145, No Se Va - En Vivo,49,200,2,https://open.spotify.com/track/23Lyy7ZXRvzfgH4JtDkKrX
146, It Was A Good Day,100,134,17,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
147, Yes Indeed,2,143,17,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
148, Love Sosa,44,—,1,https://open.spotify.com/track/01Lr5YepbgjXAWR9iOEyH1
149, Dijeron Que No La Iba Lograr,95,162,6,https://open.spotify.com/track/7dR09k1an5JEq7ch0Y5hvV
150, HUMBLE.,1,154,14,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
151, Everybody Wants To Rule The World,49,132,17,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
152, Heartless (feat. Morgan Wallen),57,144,5,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk
153, Out thë way,47,142,20,https://open.spotify.com/track/6IyoLWzljeR3ldQo4KWHT6
154, Di Que Si,128,188,2,https://open.spotify.com/track/0kzN7YAMSbmlHOvxlbQW9y
155, Break from Toronto,110,167,15,https://open.spotify.com/track/5fEB6ZmVkg63GZg9qO86jh
156, Going Bad (feat. Drake),2,190,2,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
157, Knife Talk (with 21 Savage ft. Project Pat),2,158,17,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
